CCA_1,Wilaya,MENAGES,MASCULIN,EMININ,TOTAL
1,ADRAR,68741,205382,196815,402197
2,CHLEF,153461,508407,505311,1013718
3,LAGHOUAT,69069,244044,233284,477328
4,OUMELBOUAGHI,111475,325009,319355,644364
5,BATNA,187304,568941,559089,1128030
6,BEJAIA,156171,467273,448563,915836
7,BISKRA,113121,366691,363571,730262
8,BECHAR,42390,137787,137079,274866
9,BLIDA,176312,512517,497375,1009892
10,BOUIRA,112875,352410,342339,694749
11,TAMENRASSET,33043,101760,96930,198690
12,TEBESSA,110069,330272,326955,657227
13,TLEMCEN,180303,470885,474640,945525
14,TIARET,133414,425023,417038,842061
15,TIZIOUZOU,196556,561133,558513,1119646
16,ALGER,559738,1477031,1470430,2947461
17,DJELFA,151633,631791,591431,1223222
18,JIJEL,98758,319551,314860,634411
19,SETIF,244316,759596,736554,1496150
20,SAIDA,55916,165804,162880,328684
21,SKIKDA,150842,454753,449442,904195
22,SIDIBELABBES,108321,304265,299105,603370
23,ANNABA,122519,320259,319791,640050
24,GUELMA,94097,242213,240048,482261
25,CONSTANTINE,173948,471540,471571,943111
26,MÉDÉA,130756,422290,408654,830944
27,MOSTAGANEM,117979,374893,372053,746946
28,M’SILA,147685,505418,486428,991846
29,MASCARA,149240,396327,384632,780959
30,OUARGLA,85713,279508,273031,552539
31,ORAN,266865,722624,720428,1443052
32,ELBAYADH,42471,132251,129935,262186
33,ILLIZI,10294,29356,25134,54490
34,B.B.ARRERIDJ,103182,323776,310620,634396
35,BOUMERDES,141126,407463,387555,795018
36,ELTAREF,77459,205486,206298,411784
37,TINDOUF,10112,29808,28385,58193
38,TISSEMSILT,44597,150362,146004,296366
39,ELOUED,95499,344015,329919,673934
40,KHENCHELA,67722,193942,190326,384268
41,SOUKAHRAS,81491,220128,220172,440300
42,TIPAZA,108469,312757,304904,617661
43,MILA,125583,387675,380743,768418
44,AINDEFLA,121847,391900,379990,771890
45,NAAMA,32978,107276,102194,209470
46,AINTEMOUCHENT,69221,186067,182645,368712
47,GHARDAÏA,55714,191407,184581,375988
48,RELIZANE,115905,369609,363451,73306
